market_data_current_price_usd,market_data_ath_usd,market_data_high_24h_usd,market_data_total_supply,market_data_circulating_supply
0.00167661,0.03418169,0.00168653,65658824.0,86277000000000.0
0.23156100000000002,43587.0,0.232567,1000000000.0,6008030000000000.0
0.00071736,0.04374969,0.00076416,500000000.0,440000000.0
0.03360274,43505.0,0.03373354,5000000.0,0.0
0.00088701,0.03084309,0.00088701,10000000.0,0.0
0.01345523,0.129215,0.01398773,5000000000.0,0.0
0.9271940000000001,17.37,0.988232,100000000.0,0.0
0.01341833,0.06802799999999999,0.01894769,1000000.0,0.0
0.719827,0.9719620000000001,0.731935,22227000.0,23795590465.0
0.03035806,0.622159,0.03241351,37219452.0,20981449.9
0.050078,19937.0,0.056091999999999996,21000000.0,373367000000000.0
0.01229112,0.053045,0.01229112,1500000000.0,0.0
0.00531083,0.02073327,0.00534888,17910000.0,4888400000000.0
0.0841,0.049980000000000004,0.00015047,500000000.0,522111000000000.0
0.10158400000000001,43556.0,0.10158400000000001,100000000.0,3232803.0
7e-07,1.98e-06,7e-07,100000000.0,0.0
0.02492193,0.04267611,0.02492193,300000000.0,0.0
0.0261,0.001816,0.0287,0,1216035175.0
0.00025227,0.008927500000000001,0.00025528,300000000.0,0.0
1.8e-07,0.0029920000000000003,1.8e-07,100000000000.0,0.0
0.00098785,0.427314,0.00098785,75000000.0,0.0
8.38e-06,0.0885,8.38e-06,50200000000.0,0.0
0.00023199,0.02692323,0.00024092,10000000000.0,0.0
0.0611,0.00152442,0.0634,1000000000000.0,0.0
0.0,0.00046476,0.0,0,0.0
2e-08,4e-08,2e-08,8080808080808.0,0.0
0.00080646,0.00718388,0.0014524000000000002,0,0.0
0.081224,28946.0,0.082069,100000000.0,0.0
0.01044839,90.79,0.01044839,0,0.0
0.00219101,22951.0,0.0017753,21000000.0,0.0
2.5e-05,0.0472,0.0294,261978248.0,0.0
0.00878722,0.628152,0.00878722,0,0.0
0.04558235,23802.0,0.04509069,146015625.0,45671975.0
0.00827393,0.00828236,0.00827393,10000000000.0,0.0
0.0001691,0.00159435,0.00019891,500000000.0,150000000.0
0.0792,0.00601079,0.0792,1000000000.0,0.0
0.00330052,0.096859,0.00339681,5000000000.0,0.0
0.00261768,0.02310548,0.00262221,20000000000.0,0.0
0.00238765,0.405898,0.00281413,52500000.0,134115000000000.0
0.036000000000000004,0.099598,0.0364,397000000.0,0.0
0.00127285,0.427464,0.0014,550000000.0,5333040000000.0
0.03223549,0.745815,0.03223549,185641368.0,0.0
0.0679,0.02113536,0.00223423,45000000000.0,0.0
0.00264245,0.121773,0.0027394000000000003,500000000.0,0.0
0.041461000000000005,22.68,0.041461000000000005,1266392.0,8253450000000000.0
0.00974639,26330.0,0.00974639,0,0.0
0.00577384,0.0103096,0.00577384,70000000.0,0.0
0.00851025,0.45632,0.00743035,25000000.0,86282600000000.0
0.00969603,17533.0,0.00990253,1000000000.0,857440445.0
0.02612257,0.442507,0.02612257,0,0.0
0.01886196,0.12803599999999998,0.0207209,20500000.0,0.0
0.00030061,0.598753,0.00030061,25000000.0,0.0
43478.0,13.69,13.15,100000000.0,0.0
0.0398063,0.22809899999999997,0.0420991,84000000.0,14090291.0
0.0477,0.00033362,0.0477,10000000000.0,0.0
0.0321,0.00080329,0.0321,8000000000.0,0.0
0.00265118,0.234028,0.00270621,1000000000.0,566000010.0
0.00870767,0.055126,0.01312228,100671565.0,102607977.5
0.00040543,0.02881385,0.00042396,1000000000.0,6918820000000000.0
0.18956099999999998,43466.0,0.195217,200000000.0,0.0
0.00094598,0.00865999,0.00094598,500000000.0,0.0
0.00294241,100.45,0.00301835,100000000.0,0.0
0.00033571,0.057680999999999996,0.00033577,38000000.0,0.0
0.00036199,0.00172036,0.00036199,260000000.0,0.0
0.06300599999999999,17958.0,0.06350900000000001,100000000.0,920454000000.0
0.616432,18660.0,0.630708,1000000000.0,0.0
0.0844,2946.66,0.0845,0,0.0
0.00078722,0.07257899999999999,0.00082476,1000000000.0,236630000.0
0.0706,0.03642698,0.0706,0,0.0
0.0001509,0.00083864,0.00027357,100000000.0,0.0
0.00022688,0.093476,0.00022688,232000000.0,0.0
0.00260839,0.01009132,0.00277975,1000000000.0,0.0
0.06763999999999999,42036.0,0.07224,38758203.0,34851700000000.0
0.00263432,0.207525,0.0026420000000000003,1000000000.0,824000000.0
0.00025437,0.10845899999999999,0.00025437,100000000.0,0.0
0.00013775,0.00638242,0.00013775,0,0.0
0.00226997,0.18253,0.00859481,31415826000.0,210713000000000.0
0.00068692,0.04932997,0.00068628,85000000.0,0.0
