market_data_ath_usd,KW29,KW38,KW35,KW15,public_interest_stats_bing_matches,KW36,KW9,KW16,KW11
0.03418169,0.0026632313010055393,0.0021662825358147323,0.002012671604248252,0.003115913100550864,23900.0,0.002356877018441757,0.003268016605222265,0.0026067882416048985,0.003229310748372128
43587.0,0.2389215820855612,0.22629107696617964,0.1534983327381213,0.3202039799521784,686000.0,0.15961035385705513,0.2484049026668852,0.3329892475515569,0.2636505427689533
0.04374969,0.0010976915352806666,0.0009500823096029533,0.0009823537645584207,0.002412148399175982,27500.0,0.0009866124861903753,0.003350004935853751,0.002184954868622228,0.0027705410460747157
43505.0,0.0,0.0,0.0,0.0,27500.0,0.0,0.0,0.0,0.0
0.03084309,0.0008870106032193045,0.0008870106032193045,0.0008870106032193045,0.0,703000.0,0.0008870106032193045,0.0,0.0,0.0
0.129215,0.0,0.0207247406092896,0.040255449808294666,0.0,38200.0,0.03647947129447603,0.0,0.0,0.0
17.37,2786130000000000.0,1.04514e+16,3.47338e+16,0.4423302351328207,87200.0,3595210000000000.0,6492380000000000.0,0.6130932818400942,0.3105006068424156
0.06802799999999999,0.03194419560666858,0.05597489005422985,0.008251567035036687,0.0,2020000.0,0.042337015493004615,0.0,0.0,0.0
0.9719620000000001,0.7377567969215516,0.7185677175723814,0.7188521023883218,0.0,2110000.0,0.7207830551545856,0.0,0.0,0.0
0.622159,0.028490652028409183,0.030579542218789495,0.01937033833766484,0.025243322064978816,556000.0,0.02063983436871917,0.014046250806327171,0.02242250297750852,0.022961756788841662
19937.0,0.0893454996031118,0.06693552555715399,0.09545545930979037,0.2671506308733558,137000.0,0.101339710450832,0.7732009864277559,0.14614782364706588,0.6132435579386881
0.053045,0.0,0.0,0.0,0.0,30100.0,0.0,0.0,0.0,0.0
0.02073327,0.0,0.006241427342545679,0.004463948409446229,0.006463727003444075,82000.0,0.004337659019584397,0.0,0.006317613241754736,0.004869382295836413
0.049980000000000004,0.00018931110869419642,0.00018796064496557464,0.0001877823536607482,0.0007008675000737012,28200.0,0.000105512924261964,0.0010995513262337876,0.0008896015689845053,0.001121550085018948
43556.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0
1.98e-06,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,0.0,0.0
0.04267611,0.028177765807125606,0.024047369087106748,0.02374643669373082,0.02472050428285271,850000.0,0.026104100428471083,0.033254353514306174,0.03635996746940156,0.03702742854572112
0.001816,171000000000.0,26800000000.0,277000000000.0,125000000000.0,5570000.0,363000000000.0,566000000000.0,145000000000.0,43300000000.0
0.008927500000000001,0.0008507582727738481,0.000306937004969331,0.0002846898799242786,0.001513358847956523,942000.0,0.000317332824995661,0.004541161046337816,0.0016929658611943743,0.002905557344375835
0.0029920000000000003,568000000.0,358000000.0,2880000000.0,0.0,27400.0,0.0,0.0,0.0,0.0
